N1 | 🦠😷 Infecting Player 2
N2 | 👨‍⚕️👨‍⚕️ Self Doccing
N3 | 👨‍⚕️👨‍⚕️ Doccing Player 5
N4 | 🖼️🖼️ Framing Player 12
N5 | ⚗️💨 Invising Player 8
N6 | 🗡️🗡️ Baited Player 19
N7 | 🎲🟨 Rolling Yellow Dice
N8 | ⚗️🤞 Truthing Player 9
N9 | 💣💥 Detonating Bombs
N10 | 🔫🔫 Shooting Player 7
N11 | 🗡️🗡️ Killing Player 5
N12 | 😴😴 Disting Player 2
N13 | 🧻🧻 Hoarding Player 1, Victorious
N14 | 🩸🩸 Draining Player 15
N15 | 🤡🤡 Target Died, Jester-ing
N16 | 📜📜 Revealing as Mayor
N17 | 🔭🔭 Self Watching
N18 | 🎲🟥 Rolling Red Dice
N19 | 🔗🔗 Linking Player 8 and Player 13
N20 | 🔎🔎 Detting Player 9
N21 | ⚗️🗡️ Lethaling Player 9
N22 | 😶😶 Silencing Player 18
N23 | 🕵️🕵️ PI-ing Player 3 and Player 6
N24 | 📍🧸 Dolling Player 11
N25 | 🕵️🕵️ Spying on Player 18
N26 | 🔭🔭 Watching Player 18
N27 | 🎲⬜ Rolling White Dice
N28 | 🦢🦢 Goosing Player 13
N29 | 😇😇 Reincarnating
N30 | 🧻🧻 Hoarding Player 10, Lost Duel
N31 | 😴😴 Disting Mayor
N32 | 💣💣 Planting on Player 17
N33 | 💻💻 Hacking Player 12
N34 | I died wtf
